OBJECTID,COD_ID,DIST,CATEG,ENE_01,ENE_02,ENE_03,ENE_04,ENE_05,ENE_06,ENE_07,ENE_08,ENE_09,ENE_10,ENE_11,ENE_12,DESCR
"1",A1,"390",A1,0,0,0,0,0,0,0,0,0,0,0,0, 
"2",A1-A2,"390",A1-A2,0,0,0,0,0,0,0,0,0,0,0,0, 
"3",A1-A3,"390",A1-A3,0,0,0,0,0,0,0,0,0,0,0,0, 
"4",A1-A3A,"390",A1-A3A,0,0,0,0,0,0,0,0,0,0,0,0, 
"5",A1-A4,"390",A1-A4,0,0,0,0,0,0,0,0,0,0,0,0, 
"6",A2,"390",A2,14098.2825945183,13576.4942143961,14420.5588585788,11495.0876278526,12415.8745938309,12342.793087199,12313.7314862733,13522.8192844526,12530.4310291026,12586.0229476659,12792.9225781477,13108.5759776697, 
"7",A2-A3,"390",A2-A3,0,0,0,0,0,0,0,0,0,0,0,0, 
"8",A2-A3A,"390",A2-A3A,3219.27424911524,2852.31689173289,3233.7391369093,2786.74503015748,2973.6564474621,2863.7845824742,2918.80668171111,3036.69340073476,2925.58820172471,2952.8089218733,2932.02412017049,3018.35992907178, 
"9",A2-A4,"390",A2-A4,12636.0759694216,11195.7447009348,12702.5516515067,11422.4071124945,11816.7481911689,11344.5033205342,11594.4685750881,11995.2909540053,11663.7193811558,11716.6123152535,11633.8442230039,11817.820977026, 
"10",A3,"390",A3,0,0,0,0,0,0,0,0,0,0,0,0, 
"11",A3A,"390",A3A,2197.40160178978,2067.38687986072,2391.27988121405,1998.12227688055,2121.54889941883,2048.01378569798,2027.5580498034,2165.27473214433,2195.16114068268,2065.97732573839,2075.00199866965,2072.89325376376, 
"12",A3-A2,"390",A3-A2,0,0,0,0,0,0,0,0,0,0,0,0, 
"13",A3-A3A,"390",A3-A3A,0,0,0,0,0,0,0,0,0,0,0,0, 
"14",A3-A4,"390",A3-A4,0,0,0,0,0,0,0,0,0,0,0,0, 
"15",A3A-A2,"390",A3A-A2,0,0,0,0,0,0,0,0,0,0,0,0, 
"16",A3A-A4,"390",A3A-A4,4571.17086705667,4270.81812229556,4495.10745834877,4233.86942646482,4334.87254320748,4488.67030752061,4463.96032838215,4511.53210201392,4379.00758922914,4499.61336802297,4281.74893773287,4394.02336695652, 
"17",A3A-B,"390",A3A-B,0,0,0,0,0,0,0,0,0,0,0,0, 
"18",A4,"390",A4,38258.7332181409,35995.0602706636,41634.327994828,34789.1013941796,36938.0696209534,35657.7573213173,35301.6046081609,37699.3755959848,38219.7247803058,35970.5186688559,36127.6463207957,36090.9311801889, 
"19",A4-A2,"390",A4-A2,0,0,0,0,0,0,0,0,0,0,0,0, 
"20",A4-A3,"390",A4-A3,0,0,0,0,0,0,0,0,0,0,0,0, 
"21",A4-A3A,"390",A4-A3A,0,0,0,0,0,0,0,0,0,0,0,0, 
"22",A4-A4,"390",A4-A4,0,0,0,0,0,0,0,0,0,0,0,0, 
"23",A4-B,"390",A4-B,59677.8961416278,55756.7082383527,58684.8673669299,55274.3328259072,56592.9563659697,58600.8285878636,58278.2329965864,58899.2956189727,57169.1515617496,58743.6932602033,55899.4130479918,57365.1866804887, 
"24",B,"390",B,39400.8625935985,36875.6403100148,40680.116756246,34163.1038929506,35763.6131210765,34463.8823280797,35150.698115565,36358.2255725135,35323.3478018611,33446.8988343241,33473.3335260086,34816.3010464005, 
"25",B-A3A,"390",B-A3A,0,0,0,0,0,0,0,0,0,0,0,0, 
"26",B-A4,"390",B-A4,0,0,0,0,0,0,0,0,0,0,0,0, 
"27",MED,"390",MED,10010.2991491315,10010.2991491315,10010.2991491315,10010.2991491315,10010.2991491315,10010.2991491315,10010.2991491315,10010.2991491315,10010.2991491315,10010.2991491315,10010.2991491315,10010.2991491315, 
"28",RAM,"390",RAM,21815.5668757178,20965.1501873123,17093.3053824767,14723.7871493443,14734.9547972743,14235.4829651745,14418.073033289,15275.8033837617,14933.0164886259,18941.5783235799,19303.7973649582,20180.8229417208, 
"29",REG,"390",REG,947.77089332503,891.69367510159,1031.3933817844,861.81885632069,915.05453258848,883.33778114659,874.51492825223,933.91411269886,946.80455024819,891.08571414961,894.97818529328,894.06865330713, 
